Neighbourhood,City,Latitude,Longitude
Kasba Peth,Pune,18.5219052,73.8582903
Guruwar Peth,Pune,18.5113589,73.8576197
Somwar Peth,Pune,18.5288773,73.8744146
Mangalwar Peth,Pune,18.5243388,73.8592081
Shukrawar Peth,Pune,18.5113537,73.8540109
Shaniwar Peth,Pune,18.5192839,73.8524863
Bhavani Peth,Pune,18.521428,73.8544541
Ghorpade Peth,Pune,18.5246142,73.858885
Budhwar Peth,Pune,18.5175599,73.858037
Ganesh Peth,Pune,18.5154218,73.8647366
Sadashiv Peth,Pune,18.5107764,73.8502149
Narayan Peth,Pune,18.5155793,73.8510765
Rasta Peth,Pune,18.52191505,73.86657611350155
Nana Peth,Pune,18.5183568,73.8563098
Mahatma Phule Peth,Pune,18.5089336,73.8733395
Navi Peth,Pune,18.50927,73.84415
Aundh,Pune,18.5618834,73.8101957
Baner,Pune,18.5642431,73.7768573
Bavdhan Khurd,Pune,18.3138813,74.0231086
Bavdhan Budruk,Pune,18.5291348,73.7786999
Balewadi,Pune,18.5820266,73.7689831
Shivajinagar,Pune,18.5325915,73.8513115
Bibvewadi,Pune,18.4781739,73.862105
Bhugaon,Pune,18.5000084,73.7501119
Bhukum,Pune,18.4945396,73.7214015
Dhanori,Pune,18.5906707,73.8913189
Dhayari,Pune,18.4373984,73.8190432
Fursungi,Pune,18.4727247,73.9589417
Ghorpadi,Pune,18.5268544,73.9000956
Hadapsar,Pune,18.526967,73.9278252
Hingne Khurd,Pune,18.4796701,73.8250995
Karve Nagar,Pune,18.4894038,73.8213237
Katraj,Pune,18.4536792,73.8563196
Khadki,Pune,18.5681753,73.8507787
Kharadi,Pune,18.5505175,73.9424945
Kondhwa,Pune,18.4777463,73.8941378
Koregaon Park,Pune,18.5375532,73.8939252
Kothrud,Pune,18.5038889,73.807673
Mundhwa,Pune,18.5336703,73.9317831
Nanded,Pune,18.4547556,73.7849037
Parvati,Pune,18.497561,73.8470954
Pashan,Pune,18.5386704,73.7952542
Pirangut,Pune,18.5112818,73.6790069
Shivane,Pune,18.4670411,73.7930648
Sus,Pune,18.5541586,73.753904
Undri,Pune,18.4511242,73.8981168
Vishrantwadi,Pune,18.57263,73.87825
Vadgaon Budruk,Pune,18.4674971,73.825365
Wadgaon Sheri,Pune,18.5504406,73.9171674562999
Wagholi,Pune,18.5806299,73.9833099
Wanowrie,Pune,18.4883683,73.8986672
Warje,Pune,18.4820444,73.8001705
Yerwada,Pune,18.5503608,73.87974629707128
Akurdi,Pune,18.64864175,73.76470807178595
Bhosari,Pune,18.6210093,73.8501298
Chakan,Pune,18.7623111,73.8625448
Chikhli,Pune,18.6825324,73.818446
Chinchwad,Pune,18.6403548,73.7917128
Dapodi,Pune,18.580845699999998,73.83277484526513
Dehu Road,Pune,18.680047,73.7343306
Hinjawadi,Pune,18.59406345,73.74204911007135
Kalewadi,Pune,18.4043584,74.0214401
Kasarwadi,Pune,18.6080927,73.8208678
Maan,Pune,18.5733037,73.6942662
Moshi,Pune,18.6523154,73.84420318724369
Phugewadi,Pune,18.5887843,73.8306707278301
Pimple Gurav,Pune,18.5895213,73.831923
Pimple Nilakh,Pune,18.5696793,73.7940824
Pimple Saudagar,Pune,18.5981553,73.7977661
Pimpri,Pune,18.623185399999997,73.80199315
Ravet,Pune,18.643269,73.7450557
Rahatani,Pune,18.6070438,73.7958009311809
Sangvi,Pune,18.574108,73.8203773
Talawade,Pune,18.7276834,73.7969086
Tathawade,Pune,18.493308550000002,73.82731827484824
Thergaon,Pune,18.609275,73.7729374
Wakad,Pune,18.6109018,73.7637965
